name,H_lig_ub_wt,H_lig_ub_mt,H_lig_b_wt,H_lig_b_mt,H_rec_ub,H_rec_b_wt,H_rec_b_mt,bias,aa_coef,aa_bias,grouped_pearson,grouped_spearman
params_8_2.pt,0.0515,0.0507,-0.1021,-0.0715,-0.1270,-0.3211,0.3416,0.4302,"[1.81326162815094, 1.81326162815094, 0.5024087429046631, 0.5009765028953552, 0.5148187875747681, 1.81326162815094, 0.5018449425697327, 2.119234561920166, 0.5050197839736938, 0.5234977006912231, 0.5022006630897522, 0.5082709789276123, 0.5023770928382874, 4.664129734039307, 4.716850757598877, 0.5129050612449646, 2.430823802947998, 4.731670379638672, 6.0414533615112305, 0.5018612742424011, 1.81326162815094]","[-5.2938714027404785, 0.0, -1.6986075639724731, -3.1077687740325928, 0.13381223380565643, 1.1395716667175293, -13.707014083862305, 0.6397064328193665, 0.12996791303157806, -1.0794196128845215, 2.74041485786438, 2.4588661193847656, 0.5522293448448181, -3.930742025375366, -14.875555038452148, -2.1078481674194336, 0.5377433896064758, 2.6455044746398926, 6.185676097869873, -14.429923057556152, 0.0]",0.1837,0.1735
params_3_0.pt,0.2802,0.0237,-0.3503,0.1343,-0.0454,-0.0397,0.0167,0.4839,"[1.81326162815094, 6.312964916229248, 0.5091267228126526, 1.3791146278381348, 0.5033469200134277, 1.81326162815094, 0.5066075325012207, 0.5042347311973572, 0.5028162598609924, 3.869109869003296, 0.5004523992538452, 1.7472107410430908, 0.5084958076477051, 2.2961831092834473, 0.5067873001098633, 0.5052441954612732, 5.40822172164917, 0.5013277530670166, 9.897382736206055, 1.0896923542022705, 1.81326162815094]","[-1.7911995649337769, -4.5434184074401855, 3.0825653076171875, -4.211027145385742, -10.952454566955566, 1.5955044031143188, 0.4624369442462921, -1.5604788064956665, 1.2206525802612305, 1.7579368352890015, -6.872853755950928, -4.617278099060059, 13.128321647644043, -2.1353437900543213, -3.412868022918701, 2.1858294010162354, -2.016786575317383, -1.598284363746643, -7.639827251434326, -9.813640594482422, 0.0]",0.2202,0.1934
params_1_3.pt,0.4698,-0.4952,-0.5386,0.5184,-0.0068,0.0788,-0.2401,1.0112,"[1.81326162815094, 5.5832200050354, 1.7392297983169556, 0.5014688968658447, 4.371897220611572, 1.81326162815094, 1.4074320793151855, 0.5865007638931274, 1.382648229598999, 2.8745453357696533, 2.6319665908813477, 0.501470148563385, 0.5037939548492432, 1.341490387916565, 1.674857497215271, 0.5011120438575745, 4.097871780395508, 0.5242723822593689, 4.653343677520752, 3.5693652629852295, 1.81326162815094]","[3.506197690963745, 5.756487846374512, -4.72104024887085, 1.074820876121521, 2.9841468334198, -0.8231511116027832, -7.763120651245117, -2.653224468231201, -1.2571457624435425, 2.9645848274230957, 1.2952457666397095, 5.633388042449951, 2.0641183853149414, -0.46011483669281006, -3.9798173904418945, 2.2818355560302734, 1.9293432235717773, 0.21920175850391388, 3.8606371879577637, -7.344189643859863, 0.0]",0.1687,0.1456
params_5_7.pt,0.0514,-0.1179,-0.2331,0.3074,0.1671,-0.0221,-0.1189,0.7209,"[1.81326162815094, 4.001622200012207, 0.5019179582595825, 0.5003615021705627, 3.0065155029296875, 1.81326162815094, 2.7272965908050537, 3.187117576599121, 0.5005620718002319, 4.205393314361572, 3.177686929702759, 0.5009437799453735, 0.5162129998207092, 1.077338457107544, 0.9505313634872437, 0.5021262168884277, 6.61729097366333, 2.9505622386932373, 3.1069326400756836, 5.379268646240234, 1.81326162815094]","[-0.7559386491775513, -0.47154682874679565, 2.5901739597320557, 1.3557124137878418, -4.442513465881348, -0.36535951495170593, -1.8521047830581665, -0.06521622836589813, 3.7328031063079834, -6.796680450439453, -6.939242362976074, 3.000091075897217, 10.080533981323242, -0.6479941010475159, -0.6783531308174133, -0.03681004047393799, -3.776155710220337, 0.4085083603858948, -2.160949945449829, -7.266343116760254, 0.0]",0.1400,0.1176
params_0_4.pt,0.5715,0.1205,-0.5687,0.0280,-0.1322,-0.2485,0.3014,0.5834,"[1.81326162815094, 7.730719566345215, 0.5008201003074646, 1.5310572385787964, 0.5129241943359375, 1.81326162815094, 0.5021361708641052, 0.944159209728241, 0.503928005695343, 0.5018393993377686, 1.286474347114563, 0.5007338523864746, 0.7482380867004395, 2.4143080711364746, 1.6316331624984741, 0.500918984413147, 7.175222873687744, 0.50290447473526, 0.9704763293266296, 1.071800708770752, 1.81326162815094]","[-1.6114585399627686, 16.42145538330078, -2.32470965385437, 8.657363891601562, -1.2343188524246216, -6.24641752243042, -4.282897472381592, -0.3100414276123047, -0.49505990743637085, 1.9000413417816162, -9.089378356933594, 7.258544445037842, -12.045748710632324, 6.413938999176025, -8.176626205444336, -4.210485935211182, -1.9745509624481201, -1.5107921361923218, -10.844258308410645, -1.9377835988998413, 0.0]",0.1607,0.1592
params_5_2.pt,0.1310,0.2240,-0.1907,-0.6680,-0.2003,-0.3200,0.2252,1.0643,"[1.81326162815094, 0.5005825757980347, 0.5007599592208862, 0.5059107542037964, 0.5041059851646423, 1.81326162815094, 9.271307945251465, 3.2673161029815674, 3.8042194843292236, 0.500761866569519, 30.28660011291504, 1.1931366920471191, 0.5032359957695007, 0.5035910606384277, 2.451401710510254, 0.5016406774520874, 5.597432613372803, 4.959139347076416, 0.5013102889060974, 4.004697322845459, 1.81326162815094]","[-0.2387901395559311, 1.6183044910430908, -0.07809159904718399, -1.0826743841171265, 1.9211540222167969, -1.523165225982666, -0.3162428140640259, -1.1807459592819214, -0.1682460755109787, 0.5658211708068848, 50.27069091796875, -0.755469024181366, -0.9568044543266296, -2.0199549198150635, -3.3510046005249023, 2.136841297149658, 7.9934000968933105, 1.5121036767959595, -1.059846043586731, -3.757758855819702, 0.0]",0.0316,0.0486
params_3_9.pt,0.2363,-0.1606,-0.2720,0.3012,-0.0239,-0.2380,0.2412,0.6445,"[1.81326162815094, 0.500927209854126, 0.5016328692436218, 0.5006515979766846, 2.922274589538574, 1.81326162815094, 0.5014761090278625, 0.5008514523506165, 2.8036954402923584, 2.544050931930542, 2.7516422271728516, 0.5004911422729492, 0.500423014163971, 0.5011547803878784, 2.0652008056640625, 0.5008891224861145, 0.5003130435943604, 2.2546374797821045, 0.5033496618270874, 2.2364187240600586, 1.81326162815094]","[-2.3466601371765137, -5.1469268798828125, 7.17291784286499, -8.350645065307617, -10.126592636108398, -5.946919918060303, -6.186886310577393, -20.156414031982422, -17.09657096862793, -7.642694473266602, -16.444772720336914, 1.1549620628356934, -8.331425666809082, -0.011804282665252686, -9.464768409729004, -4.803925514221191, -15.536179542541504, -5.591551303863525, -16.424598693847656, -13.282958984375, 0.0]",0.2020,0.1711
params_0_8.pt,0.4328,-0.6771,-0.4315,0.4331,-0.0528,0.5092,-0.4703,0.5882,"[1.81326162815094, 6.014313697814941, 4.391912460327148, 1.6991328001022339, 1.6175626516342163, 1.81326162815094, 1.6253998279571533, 3.8293919563293457, 0.5005567669868469, 1.116337537765503, 2.106658935546875, 0.5010435581207275, 5.309073448181152, 0.5044340491294861, 0.5022535920143127, 0.5017728805541992, 2.300518751144409, 0.5009906888008118, 0.5024855732917786, 1.3874449729919434, 1.81326162815094]","[-0.17241273820400238, -4.4615068435668945, -8.872129440307617, -2.024423837661743, -0.5937908291816711, -8.910059928894043, 6.310263156890869, -0.8177457451820374, -1.2508467435836792, -1.0994644165039062, -3.610599994659424, -30.502094268798828, -39.84877395629883, -17.161237716674805, 14.305414199829102, 10.242863655090332, 6.043532371520996, 11.105573654174805, -17.985536575317383, -5.583309173583984, 0.0]",0.0906,0.0770
params_3_8.pt,0.2960,0.4059,-0.1664,-0.5015,-0.2354,-0.1222,0.4343,0.4468,"[1.81326162815094, 7.802146911621094, 0.6433932185173035, 2.746615409851074, 0.5006986856460571, 1.81326162815094, 0.500677227973938, 0.5004164576530457, 1.2680249214172363, 0.5011305212974548, 0.5027295351028442, 1.4263050556182861, 0.5010504722595215, 0.5039896368980408, 0.993707537651062, 1.5740209817886353, 0.5011457204818726, 1.922366738319397, 3.8288331031799316, 1.5143663883209229, 1.81326162815094]","[-4.493198871612549, -9.18588924407959, -7.153890609741211, -8.673748016357422, 14.619843482971191, 2.268547773361206, 4.3046770095825195, 2.3905534744262695, 7.12134313583374, 3.199863910675049, 0.3487699627876282, 2.6708765029907227, 1.8333263397216797, -4.264434337615967, 0.6385903358459473, -1.3455684185028076, -4.021695137023926, 0.7678276896476746, 4.877908706665039, 10.452049255371094, 0.0]",0.0926,0.0672
params_8_0.pt,0.7206,-0.7283,-0.9233,0.7398,0.0372,-0.0145,-0.0405,1.4886,"[1.81326162815094, 3.372225522994995, 0.5014714598655701, 0.5031423568725586, 0.5295984745025635, 1.81326162815094, 0.5734845399856567, 0.5136806964874268, 2.496265411376953, 1.6514558792114258, 1.245079755783081, 0.8519526720046997, 2.6251845359802246, 0.5037963390350342, 0.9089032411575317, 0.500887393951416, 1.5977681875228882, 0.5007351636886597, 0.5012019276618958, 0.5170038938522339, 1.81326162815094]","[3.3443620204925537, 15.845833778381348, 5.508496284484863, -3.3176677227020264, 1.7548270225524902, -0.1925182044506073, 6.440950393676758, -4.511373996734619, 3.0951435565948486, -1.2269155979156494, 5.050196647644043, 4.5905070304870605, 9.678820610046387, 7.730981826782227, -1.6192678213119507, 18.895326614379883, -2.817387580871582, 2.694702386856079, -5.400928497314453, -8.925389289855957, 0.0]",0.1761,0.1896
